id,short_name,long_name,shape_id,route_id1,proof_of_payment,ft_mode,vehicle_name,route_id
485,CT280,280 GRAN FLLS-EVT,210485,3280,0,local_bus,llocal_bus1,2_3280
443,MK917,917 AUBR-ALGN-PAC,210443,1917,0,local_bus,llocal_bus1,2_1917
276,MK197,197 FEDERAL WY-UW,210276,1197,0,local_bus,llocal_bus1,2_1197
720,KT090,90 POULS TC-BAINB,210720,4090,0,local_bus,llocal_bus1,2_4090
614,PT214,214 WASHINGTON,210614,2214,0,local_bus,llocal_bus1,2_2214
165,MK073,73 JCPK-I5-SEA EX,210165,1073,0,premium_bus,premium_bus1,2_1073
12,MK003,3 N Q ANNE-MDRONA,210012,1003,0,local_bus,llocal_bus1,2_1003
640,PT010,10 PEARL ST,210640,2010,0,local_bus,llocal_bus1,2_2010
361,MK358,358 AUR VL-SEACBD,210361,1358,0,premium_bus,premium_bus1,2_1358
429,MK908,908 RNT-RNT HLNDS,210429,1908,0,local_bus,llocal_bus1,2_1908
42,MK013,13 SPU-SEA CBD SB,210042,1013,0,local_bus,llocal_bus1,2_1013
337,MK271,271 ISSQH-BELV-UW,210337,1271,0,local_bus,llocal_bus1,2_1271
671,ET017,17 Mall Statn NB,210671,7017,0,local_bus,llocal_bus1,2_7017
185,MK105,105 RNT-RNT HGLND,210185,1105,0,local_bus,llocal_bus1,2_1105
372,ST522,ST522e,210372,6522,0,premium_bus,premium_bus1,2_6522
411,ST566,566 ISSAQ-NGATE EX**,210411,6566,0,premium_bus,premium_bus1,2_6566
737,KT009,19 SouthPark,210737,4000,0,local_bus,llocal_bus1,2_4000
652,WFFSW,WSF FAUNTLR-SWRTH,210652,5003,0,ferry,ferry1,2_5003
58,MK017,17 LYLH-BLRD-SCBD,210058,1017,0,local_bus,llocal_bus1,2_1017
103,MK039,39 RAINR BCH-SCBD,210103,1039,0,local_bus,llocal_bus1,2_1039
468,CT810,McCollumP&R-UDistri*,210468,3810,0,premium_bus,premium_bus1,2_3810
252,MK156,156 Scnter-S Tac-De*,210252,1156,0,local_bus,llocal_bus1,2_1156
368,ST522,ST522a,210368,6522,0,premium_bus,premium_bus1,2_6522
696,KT005,5 CEDAR HEIGHTS S,210696,4005,0,local_bus,llocal_bus1,2_4005
258,MK168,168 TIMBERLN-KENT,210258,1168,0,local_bus,llocal_bus1,2_1168
464,CT860,870 EDMONDS-UW SB,210464,3860,0,premium_bus,premium_bus1,2_3860
